case_id,open_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,close_date,target_close_date,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,submitted_photo,closed_photo,longitude,latitude
BCS-00111602,2025-11-03 17:45:07.829+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-06 17:45:07.829+00,OVERDUE,Call,"512 Centre St, Boston, MA 02130",512,Centre St,2130.0,Jamaica Plain,2,6,9,E13,19.0,4.0,,,-71.1126495,42.317658
BCS-00073138,2025-08-17 08:13:41.726+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-17 08:45:06+00,2025-08-20 08:13:41.726+00,ONTIME,Call,"452 Park Dr, Fenway, MA 02215",452,Park Dr,2215.0,Fenway,10A,8,4,D4,21.0,1.0,,,-71.1048915,42.34545
BCS-00108004,2025-10-28 08:28:14.948048+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-31 08:28:14.948048+00,OVERDUE,BOS311,"2-14 Cumston St, Boston, MA 02118",4,Cumston St,2118.0,South End,1C,2,4,D4,9.0,1.0,,,-71.0750205,42.338673
BCS-00113479,2025-11-06 17:01:44.788+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-09 17:02:01.806074+00,ONTIME,Call,"4081 Washington St, Boston, MA 02131",4081,Washington St,2131.0,Roslindale,2,5,12,E5,19.0,11.0,,,-71.1241695,42.290478
BCS-00102732,2025-10-15 12:27:10.904+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-18 12:27:10.904+00,OVERDUE,Call,"300 Gardner St, West Roxbury, MA 02132",300,Gardner St,2132.0,West Roxbury,6A,6,10,E5,20.0,17.0,,,-71.1810315,42.28218
BCS-00110976,2025-11-03 00:49:05.859273+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-06 00:49:05.859273+00,OVERDUE,BOS311,"153 Everett St, Boston, MA 02128",153,Everett St,2128.0,East Boston,9,1,1,A7,1.0,1.0,,,-71.032482,42.366402
BCS-00107233,2025-10-26 09:53:59.114+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-29 09:53:59.114+00,OVERDUE,Call,"27 Chestnut St, Boston, MA 02108",27,Chestnut St,2108.0,Beacon Hill,1B,8,3,A1,5.0,3.0,,,-71.067591,42.357663
BCS-00068717,2025-08-07 16:43:09.157+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-07 17:45:05+00,2025-08-10 16:43:09.157+00,ONTIME,Call,"11 E Lenox St, Roxbury, MA 02118",11,E Lenox St,2118.0,Roxbury,10B,7,7,D4,8.0,4.0,,,-71.0784045,42.334569
BCS-00109166,2025-10-29 17:57:40.077702+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-01 17:57:40.077702+00,OVERDUE,BOS311,"364-372 Congress St, Boston, MA 02210",368,Congress St,2210.0,South Boston Waterfront,5,2,6,C6,6.0,11.0,,,-71.047998,42.350283
BCS-00110910,2025-11-02 16:32:00.117508+00,Street Light Knockdown,Street Light Knockdown,Public Works Department (PWD),PWD Street Lighting,Closed,Transitioned,,2025-11-05 07:33:20+00,2025-11-05 16:32:00.117508+00,ONTIME,BOS311,"1010-1020 William T Morrissey Blvd, Boston, MA 02122",1010,William T Morrissey Blvd,2122.0,Dorchester,7A,3,8,C11,16.0,10.0,,,-71.044896,42.289709
BCS-00089220,2025-09-15 20:45:21.21+00,Lost Pet,Lost Pet,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-16 12:15:05+00,2025-09-18 20:45:21.21+00,ONTIME,Call,"31 Gleason St 1, Dorchester, MA 02121",31,Gleason St,2121.0,Dorchester,3,4,7,B3,14.0,2.0,,,-71.08176,42.29795
BCS-00111343,2025-11-03 13:03:38.31705+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Noted,The City of Boston does not maintain trees rooted on private property. There are no City owned sidewalk trees at this location. It is the property owner’s responsibility to hire a private tree care company to maintain the tree in the photo submitted.,2025-11-03 14:12:01+00,2025-11-06 13:03:38.31705+00,ONTIME,BOS311,"141 Dana Rd, Boston, MA 02132",141,Dana Rd,2132.0,West Roxbury,6A,6,10,E5,20.0,15.0,,,-71.1604755,42.262389
BCS-00108054,2025-10-28 09:21:14.827732+00,Planting Request,Planting Request,,,In progress,,,,2025-10-31 09:21:14.827732+00,OVERDUE,BOS311,"440 Park Dr, Boston, MA 02215",440,Park Dr,2215.0,Fenway,10A,8,4,D4,21.0,1.0,,,-71.1045135,42.344901
BCS-00082712,2025-09-02 17:25:15.203+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-02 17:45:10+00,2025-09-05 17:25:15.203+00,ONTIME,Call,"115 Selwyn St, Roslindale, MA 02131",115,Selwyn St,2131.0,Roslindale,6B,5,10,E5,20.0,1.0,,,-71.1359325,42.290847
BCS-00083707,2025-09-04 11:16:14.357+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-05 17:00:22+00,2025-09-07 11:16:14.357+00,ONTIME,Call,"38 Claybourne St, Dorchester, MA 02124",38,Claybourne St,2124.0,Dorchester,3,4,7,C11,17.0,1.0,,,-71.0717085,42.29838
BCS-00107879,2025-10-27 16:53:58.716+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-30 16:53:58.716+00,OVERDUE,Call,"923 Beacon St, Boston, MA 02215",923,Beacon St,2215.0,Fenway,10A,8,4,D4,21.0,1.0,,,-71.106471,42.345909
BCS-00108434,2025-10-28 14:17:27.719+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Noted,Hedge maple meets city of boston pruning specifications. No work needed.,2025-11-05 13:04:02+00,2025-10-31 14:17:27.719+00,OVERDUE,Call,"19 Hazleton St, Boston, MA 02126",19,Hazleton St,2126.0,Mattapan,7B,4,12,B3,14.0,8.0,,,-71.0940915,42.279156
BCS-00105687,2025-10-22 14:22:19.479+00,Street Light Knockdown,Street Light Knockdown,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-25 14:22:19.479+00,OVERDUE,Call,"1 City Hall Plz, Boston, MA 02114",1,City Hall Plz,2114.0,Downtown,1B,1,3,A1,3.0,6.0,,,-71.0582715,42.3603
BCS-00098969,2025-10-07 11:02:30.763+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-10 11:02:30.763+00,OVERDUE,Call,"22 Shepard St, Brighton, MA 02135",22,Shepard St,2135.0,Brighton,4,9,11,D14,22.0,3.0,,,-71.150112,42.347097
BCS-00113528,2025-11-06 22:10:56.77835+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-09 22:10:56.77835+00,ONTIME,BOS311,"59 Warren St, Boston, MA 02129",59,Warren St,2129.0,Charlestown,1A,1,3,A15,2.0,3.0,,,-71.061921,42.374016
BCS-00113507,2025-11-06 19:12:40.802+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-11-09 19:12:40.802+00,ONTIME,Call,"235 Baker St, West Roxbury, MA 02132",235,Baker St,2132.0,West Roxbury,6A,6,10,E5,20.0,5.0,,,-71.1663615,42.277824
BCS-00110490,2025-11-01 10:30:48.988+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved successfully,,2025-11-01 10:48:30+00,2025-11-04 09:30:48.988+00,ONTIME,Call,"1350 Columbia Rd 317, South Boston, MA 02127",1350,Columbia Rd,2127.0,South Boston,5,2,6,C6,7.0,3.0,,,-71.045532,42.330879
